u,i,ts,label,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,i_0,i_1,i_2,i_3,i_4,i_5,i_6,i_7
1,0,32,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,0,32,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3,4,32,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4,0,32,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5,0,32,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
6,2,32,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
7,0,32,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,0,36,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,36,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,0,36,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3,4,36,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4,0,36,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5,4,36,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
6,4,36,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
7,2,36,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,3,40,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,40,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,3,40,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3,4,40,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4,3,40,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5,4,40,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
6,4,40,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
7,2,40,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,3,44,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,44,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,1,44,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3,0,44,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4,1,44,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5,4,44,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
6,4,44,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
7,4,44,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,3,48,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,48,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,1,48,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3,0,48,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4,4,48,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5,0,48,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
6,3,48,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
7,4,48,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,3,52,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,3,52,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2,52,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3,0,52,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4,4,52,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5,0,52,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
6,3,52,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
7,3,52,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,3,56,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,3,56,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2,56,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3,0,56,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4,4,56,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5,0,56,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
6,3,56,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
7,3,56,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,60,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,60,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,0,60,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3,1,60,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
4,4,60,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5,0,60,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
6,2,60,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
7,3,60,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,64,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,64,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,0,64,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3,1,64,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
4,4,64,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5,4,64,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
6,4,64,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
7,0,64,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,0,68,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,68,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,4,68,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3,4,68,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4,4,68,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5,4,68,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
6,0,68,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
7,0,68,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,0,72,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,4,72,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2,72,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3,4,72,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4,1,72,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5,0,72,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
6,0,72,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
7,2,72,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,76,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,4,76,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2,76,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3,4,76,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4,0,76,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5,0,76,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
6,0,76,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
7,2,76,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,80,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,4,80,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2,80,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3,2,80,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
4,3,80,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5,0,80,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
6,0,80,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
7,3,80,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,3,84,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,84,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,4,84,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3,2,84,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
4,1,84,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5,1,84,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,0,84,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
7,3,84,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,3,88,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,88,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,0,88,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3,4,88,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4,1,88,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5,1,88,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,0,88,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
7,2,88,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,1,92,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,92,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,0,92,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3,4,92,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4,0,92,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5,1,92,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,0,92,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
7,4,92,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1,96,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,96,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,0,96,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3,0,96,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4,0,96,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5,1,96,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,0,96,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
7,0,96,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,1,100,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,3,100,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,0,100,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3,0,100,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4,0,100,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5,1,100,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,0,100,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
7,3,100,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,1,104,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,3,104,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,1,104,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3,0,104,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4,1,104,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5,1,104,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,3,104,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
7,3,104,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,1,108,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,3,108,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2,108,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3,3,108,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4,1,108,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5,1,108,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,3,108,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
7,2,108,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,1,112,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,112,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,2,112,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3,3,112,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4,1,112,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5,3,112,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
6,3,112,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
7,2,112,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,4,116,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2,116,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2,116,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3,2,116,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
4,1,116,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5,0,116,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
6,2,116,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
7,4,116,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,4,120,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,4,120,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,4,120,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3,2,120,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
4,1,120,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5,0,120,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
6,4,120,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
7,0,120,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,0,124,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,4,124,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,4,124,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3,4,124,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4,1,124,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5,0,124,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
6,0,124,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
7,0,124,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,0,128,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,4,128,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2,128,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3,3,128,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4,1,128,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5,2,128,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
6,0,128,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
7,0,128,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,3,132,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,3,132,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2,132,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3,3,132,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4,0,132,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5,2,132,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
6,3,132,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
7,0,132,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,3,136,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,3,136,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2,136,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3,3,136,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4,0,136,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5,2,136,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
6,3,136,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
7,2,136,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,3,140,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2,140,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,3,140,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3,2,140,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
4,0,140,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5,2,140,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
6,2,140,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
7,2,140,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,2,144,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2,144,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,3,144,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3,2,144,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
4,1,144,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5,2,144,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
6,4,144,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
7,2,144,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,4,148,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,4,148,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,1,148,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3,4,148,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4,1,148,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5,1,148,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,4,148,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
7,2,148,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,152,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,152,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,0,152,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3,0,152,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4,0,152,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5,1,152,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,0,152,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
7,2,152,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,156,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,156,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,0,156,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3,0,156,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4,0,156,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5,1,156,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,0,156,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
7,2,156,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,160,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,160,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,0,160,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3,0,160,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4,0,160,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5,1,160,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,0,160,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
7,4,160,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,164,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
